Time,Value
02.01.2023 08:00:00,5408
02.01.2023 08:15:00,9572
02.01.2023 08:30:00,2081
02.01.2023 08:45:00,5618
02.01.2023 09:00:00,3679
02.01.2023 09:15:00,5066
02.01.2023 09:30:00,3262
02.01.2023 09:45:00,7539
02.01.2023 10:00:00,5172
02.01.2023 10:15:00,4921
02.01.2023 10:30:00,2766
02.01.2023 10:45:00,2076
02.01.2023 11:00:00,966
02.01.2023 11:15:00,2832
02.01.2023 11:30:00,4862
02.01.2023 11:45:00,2367
02.01.2023 12:00:00,2939
02.01.2023 12:15:00,1221
02.01.2023 12:30:00,6427
02.01.2023 12:45:00,3552
02.01.2023 13:00:00,5171
02.01.2023 13:15:00,9556
02.01.2023 13:30:00,4268
02.01.2023 13:45:00,4195
02.01.2023 14:00:00,6920
02.01.2023 14:15:00,6783
02.01.2023 14:30:00,3758
02.01.2023 14:45:00,8060
02.01.2023 15:00:00,4159
02.01.2023 15:15:00,553
02.01.2023 15:30:00,7967
02.01.2023 15:45:00,1490
02.01.2023 16:00:00,5163
02.01.2023 16:15:00,2518
02.01.2023 16:30:00,8352
02.01.2023 16:45:00,4148
02.01.2023 17:00:00,5393
02.01.2023 17:15:00,660
02.01.2023 17:30:00,6411
02.01.2023 17:45:00,4595
02.01.2023 18:00:00,9844
02.01.2023 18:15:00,6934
02.01.2023 18:30:00,648
02.01.2023 18:45:00,2696
02.01.2023 19:00:00,3594
02.01.2023 19:15:00,6838
02.01.2023 19:30:00,5702
02.01.2023 19:45:00,528
02.01.2023 20:00:00,7972
02.01.2023 20:15:00,1487
02.01.2023 20:30:00,7089
02.01.2023 20:45:00,7685
02.01.2023 21:00:00,3426
02.01.2023 21:15:00,3553
02.01.2023 21:30:00,5188
02.01.2023 21:45:00,7801
02.01.2023 22:00:00,9402
02.01.2023 22:15:00,9922
02.01.2023 22:30:00,5596
02.01.2023 22:45:00,9895
02.01.2023 23:00:00,663
02.01.2023 23:15:00,9693
02.01.2023 23:30:00,914
02.01.2023 23:45:00,2263
03.01.2023 00:00:00,5054
03.01.2023 00:15:00,2659
03.01.2023 00:30:00,6255
03.01.2023 00:45:00,5851
03.01.2023 01:00:00,8136
03.01.2023 01:15:00,3448
03.01.2023 01:30:00,3859
03.01.2023 01:45:00,4866
03.01.2023 02:00:00,6181
03.01.2023 02:15:00,3150
03.01.2023 02:30:00,5476
03.01.2023 02:45:00,6579
03.01.2023 03:00:00,7631
03.01.2023 03:15:00,3177
03.01.2023 03:30:00,2704
03.01.2023 03:45:00,4557
03.01.2023 04:00:00,3134
03.01.2023 04:15:00,2472
03.01.2023 04:30:00,1152
03.01.2023 04:45:00,5249
03.01.2023 05:00:00,6450
03.01.2023 05:15:00,5946
03.01.2023 05:30:00,3413
03.01.2023 05:45:00,1346
03.01.2023 06:00:00,8858
03.01.2023 06:15:00,9140
03.01.2023 06:30:00,3488
03.01.2023 06:45:00,2936
03.01.2023 07:00:00,5592
03.01.2023 07:15:00,3126
03.01.2023 07:30:00,2366
03.01.2023 07:45:00,5077
03.01.2023 08:00:00,7102
03.01.2023 08:15:00,9585
03.01.2023 08:30:00,4598
03.01.2023 08:45:00,1348
03.01.2023 09:00:00,9749
03.01.2023 09:15:00,5674
03.01.2023 09:30:00,8185
03.01.2023 09:45:00,2830
03.01.2023 10:00:00,5838
03.01.2023 10:15:00,2296
03.01.2023 10:30:00,3620
03.01.2023 10:45:00,5508
03.01.2023 11:00:00,9648
03.01.2023 11:15:00,9198
03.01.2023 11:30:00,9645
03.01.2023 11:45:00,3073
03.01.2023 12:00:00,942
03.01.2023 12:15:00,9408
03.01.2023 12:30:00,8243
03.01.2023 12:45:00,9454
03.01.2023 13:00:00,7140
03.01.2023 13:15:00,4294
03.01.2023 13:30:00,5831
03.01.2023 13:45:00,8796
03.01.2023 14:00:00,5367
03.01.2023 14:15:00,1831
03.01.2023 14:30:00,9338
03.01.2023 14:45:00,9264
03.01.2023 15:00:00,3920
03.01.2023 15:15:00,7552
03.01.2023 15:30:00,6225
03.01.2023 15:45:00,6353
03.01.2023 16:00:00,7565
03.01.2023 16:15:00,7966
03.01.2023 16:30:00,8176
03.01.2023 16:45:00,9663
03.01.2023 17:00:00,3368
03.01.2023 17:15:00,7963
03.01.2023 17:30:00,4639
03.01.2023 17:45:00,9665
03.01.2023 18:00:00,4098
03.01.2023 18:15:00,2094
03.01.2023 18:30:00,6511
03.01.2023 18:45:00,781
03.01.2023 19:00:00,834
03.01.2023 19:15:00,4641
03.01.2023 19:30:00,7889
03.01.2023 19:45:00,4625
03.01.2023 20:00:00,8979
03.01.2023 20:15:00,3667
03.01.2023 20:30:00,3028
03.01.2023 20:45:00,4854
03.01.2023 21:00:00,1606
03.01.2023 21:15:00,5363
03.01.2023 21:30:00,6916
03.01.2023 21:45:00,4307
03.01.2023 22:00:00,5178
03.01.2023 22:15:00,9269
03.01.2023 22:30:00,4599
03.01.2023 22:45:00,4041
03.01.2023 23:00:00,9547
03.01.2023 23:15:00,7566
03.01.2023 23:30:00,8514
03.01.2023 23:45:00,7962
04.01.2023 00:00:00,3204
04.01.2023 00:15:00,9102
04.01.2023 00:30:00,7983
04.01.2023 00:45:00,4881
04.01.2023 01:00:00,3104
04.01.2023 01:15:00,7192
04.01.2023 01:30:00,5170
04.01.2023 01:45:00,712
04.01.2023 02:00:00,7834
04.01.2023 02:15:00,2119
04.01.2023 02:30:00,2358
04.01.2023 02:45:00,1610
04.01.2023 03:00:00,9212
04.01.2023 03:15:00,7652
04.01.2023 03:30:00,8937
04.01.2023 03:45:00,8500
04.01.2023 04:00:00,6185
04.01.2023 04:15:00,3361
04.01.2023 04:30:00,9304
04.01.2023 04:45:00,999
04.01.2023 05:00:00,3784
04.01.2023 05:15:00,6351
04.01.2023 05:30:00,4014
04.01.2023 05:45:00,2925
04.01.2023 06:00:00,2591
04.01.2023 06:15:00,5739
04.01.2023 06:30:00,2815
04.01.2023 06:45:00,7766
04.01.2023 07:00:00,4020
04.01.2023 07:15:00,2656
04.01.2023 07:30:00,5869
04.01.2023 07:45:00,9271
04.01.2023 08:00:00,7468
04.01.2023 08:15:00,4808
04.01.2023 08:30:00,3514
04.01.2023 08:45:00,1261
04.01.2023 09:00:00,5822
04.01.2023 09:15:00,2008
04.01.2023 09:30:00,8060
04.01.2023 09:45:00,4277
04.01.2023 10:00:00,9133
04.01.2023 10:15:00,7016
04.01.2023 10:30:00,8394
04.01.2023 10:45:00,8566
04.01.2023 11:00:00,8550
04.01.2023 11:15:00,7668
04.01.2023 11:30:00,4507
04.01.2023 11:45:00,4583
04.01.2023 12:00:00,6175
04.01.2023 12:15:00,1669
04.01.2023 12:30:00,6138
04.01.2023 12:45:00,4565
04.01.2023 13:00:00,9776
04.01.2023 13:15:00,1330
04.01.2023 13:30:00,8036
04.01.2023 13:45:00,9047
04.01.2023 14:00:00,5271
04.01.2023 14:15:00,3001
04.01.2023 14:30:00,8683
04.01.2023 14:45:00,3061
04.01.2023 15:00:00,3388
04.01.2023 15:15:00,7585
04.01.2023 15:30:00,696
04.01.2023 15:45:00,799
04.01.2023 16:00:00,1531
04.01.2023 16:15:00,5152
04.01.2023 16:30:00,8117
04.01.2023 16:45:00,3416
04.01.2023 17:00:00,8271
04.01.2023 17:15:00,6692
04.01.2023 17:30:00,5738
04.01.2023 17:45:00,3111
04.01.2023 18:00:00,1163
04.01.2023 18:15:00,9818
04.01.2023 18:30:00,7471
04.01.2023 18:45:00,7812
04.01.2023 19:00:00,5003
04.01.2023 19:15:00,7732
04.01.2023 19:30:00,2436
04.01.2023 19:45:00,771
04.01.2023 20:00:00,1384
04.01.2023 20:15:00,4438
04.01.2023 20:30:00,6339
04.01.2023 20:45:00,9248
04.01.2023 21:00:00,2619
04.01.2023 21:15:00,4515
04.01.2023 21:30:00,7285
04.01.2023 21:45:00,6413
04.01.2023 22:00:00,9036
04.01.2023 22:15:00,1430
04.01.2023 22:30:00,6771
04.01.2023 22:45:00,7480
04.01.2023 23:00:00,3975
04.01.2023 23:15:00,2490
04.01.2023 23:30:00,9752
04.01.2023 23:45:00,9365
05.01.2023 00:00:00,3339
05.01.2023 00:15:00,1793
05.01.2023 00:30:00,2380
05.01.2023 00:45:00,9121
05.01.2023 01:00:00,5149
05.01.2023 01:15:00,4716
05.01.2023 01:30:00,1530
05.01.2023 01:45:00,2223
05.01.2023 02:00:00,9340
05.01.2023 02:15:00,998
05.01.2023 02:30:00,3842
05.01.2023 02:45:00,3158
05.01.2023 03:00:00,5867
05.01.2023 03:15:00,9600
05.01.2023 03:30:00,6085
05.01.2023 03:45:00,7897
05.01.2023 04:00:00,4821
05.01.2023 04:15:00,8538
05.01.2023 04:30:00,9611
05.01.2023 04:45:00,6005
05.01.2023 05:00:00,3548
05.01.2023 05:15:00,5647
05.01.2023 05:30:00,2629
05.01.2023 05:45:00,6397
05.01.2023 06:00:00,8661
05.01.2023 06:15:00,3525
05.01.2023 06:30:00,745
05.01.2023 06:45:00,1270
05.01.2023 07:00:00,7032
05.01.2023 07:15:00,2560
05.01.2023 07:30:00,2527
05.01.2023 07:45:00,7302
05.01.2023 08:00:00,3427
05.01.2023 08:15:00,8237
05.01.2023 08:30:00,1342
05.01.2023 08:45:00,5140
05.01.2023 09:00:00,8171
05.01.2023 09:15:00,522
05.01.2023 09:30:00,1377
05.01.2023 09:45:00,3439
05.01.2023 10:00:00,8116
05.01.2023 10:15:00,2084
05.01.2023 10:30:00,1932
05.01.2023 10:45:00,9889
05.01.2023 11:00:00,3180
05.01.2023 11:15:00,9787
05.01.2023 11:30:00,1134
05.01.2023 11:45:00,8207
05.01.2023 12:00:00,6064
05.01.2023 12:15:00,1957
05.01.2023 12:30:00,8788
05.01.2023 12:45:00,8062
05.01.2023 13:00:00,6385
05.01.2023 13:15:00,5645
05.01.2023 13:30:00,2521
05.01.2023 13:45:00,6742
05.01.2023 14:00:00,9443
05.01.2023 14:15:00,1705
05.01.2023 14:30:00,4344
05.01.2023 14:45:00,7684
05.01.2023 15:00:00,1812
05.01.2023 15:15:00,6394
05.01.2023 15:30:00,2712
05.01.2023 15:45:00,7655
05.01.2023 16:00:00,7481
05.01.2023 16:15:00,6915
05.01.2023 16:30:00,2053
05.01.2023 16:45:00,2261
05.01.2023 17:00:00,7154
05.01.2023 17:15:00,8325
05.01.2023 17:30:00,2739
05.01.2023 17:45:00,2901
05.01.2023 18:00:00,5985
05.01.2023 18:15:00,5759
05.01.2023 18:30:00,4819
05.01.2023 18:45:00,9316
05.01.2023 19:00:00,3322
05.01.2023 19:15:00,2999
05.01.2023 19:30:00,9989
05.01.2023 19:45:00,4388
05.01.2023 20:00:00,8669
05.01.2023 20:15:00,5486
05.01.2023 20:30:00,9952
05.01.2023 20:45:00,7751
05.01.2023 21:00:00,4822
05.01.2023 21:15:00,6498
05.01.2023 21:30:00,1467
05.01.2023 21:45:00,1063
05.01.2023 22:00:00,5109
05.01.2023 22:15:00,1959
05.01.2023 22:30:00,1376
05.01.2023 22:45:00,8067
05.01.2023 23:00:00,654
05.01.2023 23:15:00,6989
05.01.2023 23:30:00,2777
05.01.2023 23:45:00,4900
06.01.2023 00:00:00,4076
06.01.2023 00:15:00,3029
06.01.2023 00:30:00,4053
06.01.2023 00:45:00,3513
06.01.2023 01:00:00,1632
06.01.2023 01:15:00,1410
06.01.2023 01:30:00,3053
06.01.2023 01:45:00,1575
06.01.2023 02:00:00,3093
06.01.2023 02:15:00,1959
06.01.2023 02:30:00,4292
06.01.2023 02:45:00,3446
06.01.2023 03:00:00,1309
06.01.2023 03:15:00,6257
06.01.2023 03:30:00,6950
06.01.2023 03:45:00,2208
06.01.2023 04:00:00,6957
06.01.2023 04:15:00,8693
06.01.2023 04:30:00,7490
06.01.2023 04:45:00,6196
06.01.2023 05:00:00,7033
06.01.2023 05:15:00,748
06.01.2023 05:30:00,4513
06.01.2023 05:45:00,6168
06.01.2023 06:00:00,4767
06.01.2023 06:15:00,3957
06.01.2023 06:30:00,8193
06.01.2023 06:45:00,4256
06.01.2023 07:00:00,6597
06.01.2023 07:15:00,4337
06.01.2023 07:30:00,6578
06.01.2023 07:45:00,2156
06.01.2023 08:00:00,5148
06.01.2023 08:15:00,5871
06.01.2023 08:30:00,8519
06.01.2023 08:45:00,4053
06.01.2023 09:00:00,5287
06.01.2023 09:15:00,7837
06.01.2023 09:30:00,9719
06.01.2023 09:45:00,4053
06.01.2023 10:00:00,5217
06.01.2023 10:15:00,6752
06.01.2023 10:30:00,5269
06.01.2023 10:45:00,9066
06.01.2023 11:00:00,6539
06.01.2023 11:15:00,7443
06.01.2023 11:30:00,6269
06.01.2023 11:45:00,4876
06.01.2023 12:00:00,5707
06.01.2023 12:15:00,2460
06.01.2023 12:30:00,7334
06.01.2023 12:45:00,9282
06.01.2023 13:00:00,2414
06.01.2023 13:15:00,2350
06.01.2023 13:30:00,8055
06.01.2023 13:45:00,4546
06.01.2023 14:00:00,2500
06.01.2023 14:15:00,4704
06.01.2023 14:30:00,8292
06.01.2023 14:45:00,4755
06.01.2023 15:00:00,2690
06.01.2023 15:15:00,8688
06.01.2023 15:30:00,3699
06.01.2023 15:45:00,5877
06.01.2023 16:00:00,5365
06.01.2023 16:15:00,5229
06.01.2023 16:30:00,1173
06.01.2023 16:45:00,7276
06.01.2023 17:00:00,3721
06.01.2023 17:15:00,6797
06.01.2023 17:30:00,6622
06.01.2023 17:45:00,6452
06.01.2023 18:00:00,3453
06.01.2023 18:15:00,7056
06.01.2023 18:30:00,1629
06.01.2023 18:45:00,5607
06.01.2023 19:00:00,2897
06.01.2023 19:15:00,5359
06.01.2023 19:30:00,3829
06.01.2023 19:45:00,3121
06.01.2023 20:00:00,790
06.01.2023 20:15:00,5841
06.01.2023 20:30:00,1733
06.01.2023 20:45:00,6091
06.01.2023 21:00:00,5395
06.01.2023 21:15:00,8530
06.01.2023 21:30:00,2445
06.01.2023 21:45:00,5985
06.01.2023 22:00:00,6382
06.01.2023 22:15:00,5891
06.01.2023 22:30:00,8736
06.01.2023 22:45:00,2897
06.01.2023 23:00:00,9901
06.01.2023 23:15:00,1752
06.01.2023 23:30:00,7654
06.01.2023 23:45:00,6453
07.01.2023 00:00:00,3810
07.01.2023 00:15:00,8080
07.01.2023 00:30:00,7918
07.01.2023 00:45:00,3275
07.01.2023 01:00:00,6669
07.01.2023 01:15:00,6587
07.01.2023 01:30:00,3054
07.01.2023 01:45:00,1438
07.01.2023 02:00:00,550
07.01.2023 02:15:00,6805
07.01.2023 02:30:00,1360
07.01.2023 02:45:00,5130
07.01.2023 03:00:00,8812
07.01.2023 03:15:00,6401
07.01.2023 03:30:00,3980
07.01.2023 03:45:00,6314
07.01.2023 04:00:00,6108
07.01.2023 04:15:00,2628
07.01.2023 04:30:00,3575
07.01.2023 04:45:00,6440
07.01.2023 05:00:00,4826
07.01.2023 05:15:00,506
07.01.2023 05:30:00,2602
07.01.2023 05:45:00,4769
07.01.2023 06:00:00,2253
07.01.2023 06:15:00,3345
07.01.2023 06:30:00,2128
07.01.2023 06:45:00,6805
07.01.2023 07:00:00,6669
07.01.2023 07:15:00,2923
07.01.2023 07:30:00,6748
07.01.2023 07:45:00,6377
07.01.2023 08:00:00,6776
07.01.2023 08:15:00,1895
07.01.2023 08:30:00,1262
07.01.2023 08:45:00,3763
07.01.2023 09:00:00,4731
07.01.2023 09:15:00,2743
07.01.2023 09:30:00,6483
07.01.2023 09:45:00,2689
07.01.2023 10:00:00,9038
07.01.2023 10:15:00,2755
07.01.2023 10:30:00,5114
07.01.2023 10:45:00,4717
07.01.2023 11:00:00,9595
07.01.2023 11:15:00,3566
07.01.2023 11:30:00,7534
07.01.2023 11:45:00,8786
07.01.2023 12:00:00,1173
07.01.2023 12:15:00,6386
07.01.2023 12:30:00,3157
07.01.2023 12:45:00,3201
07.01.2023 13:00:00,9385
07.01.2023 13:15:00,3096
07.01.2023 13:30:00,5312
07.01.2023 13:45:00,719
07.01.2023 14:00:00,4665
07.01.2023 14:15:00,4132
07.01.2023 14:30:00,9250
07.01.2023 14:45:00,3494
07.01.2023 15:00:00,9224
07.01.2023 15:15:00,3457
07.01.2023 15:30:00,9021
07.01.2023 15:45:00,1945
07.01.2023 16:00:00,6690
07.01.2023 16:15:00,9881
07.01.2023 16:30:00,1390
07.01.2023 16:45:00,4246
07.01.2023 17:00:00,9962
07.01.2023 17:15:00,7457
07.01.2023 17:30:00,7962
07.01.2023 17:45:00,6181
07.01.2023 18:00:00,6360
07.01.2023 18:15:00,5809
07.01.2023 18:30:00,5341
07.01.2023 18:45:00,8741
07.01.2023 19:00:00,2369
07.01.2023 19:15:00,1087
07.01.2023 19:30:00,7763
07.01.2023 19:45:00,3386
07.01.2023 20:00:00,9155
07.01.2023 20:15:00,4012
07.01.2023 20:30:00,1573
07.01.2023 20:45:00,1561
07.01.2023 21:00:00,5574
07.01.2023 21:15:00,8316
07.01.2023 21:30:00,7058
07.01.2023 21:45:00,2968
07.01.2023 22:00:00,2333
07.01.2023 22:15:00,8379
07.01.2023 22:30:00,8311
07.01.2023 22:45:00,757
07.01.2023 23:00:00,4253
07.01.2023 23:15:00,3209
07.01.2023 23:30:00,1940
07.01.2023 23:45:00,2844
08.01.2023 00:00:00,6550
08.01.2023 00:15:00,3767
08.01.2023 00:30:00,7637
08.01.2023 00:45:00,6981
08.01.2023 01:00:00,4194
08.01.2023 01:15:00,8277
08.01.2023 01:30:00,3944
08.01.2023 01:45:00,6759
08.01.2023 02:00:00,6094
08.01.2023 02:15:00,4754
08.01.2023 02:30:00,7573
08.01.2023 02:45:00,9306
08.01.2023 03:00:00,7005
08.01.2023 03:15:00,6526
08.01.2023 03:30:00,3611
08.01.2023 03:45:00,7222
08.01.2023 04:00:00,6889
08.01.2023 04:15:00,7107
08.01.2023 04:30:00,8460
08.01.2023 04:45:00,8850
08.01.2023 05:00:00,4211
08.01.2023 05:15:00,3035
08.01.2023 05:30:00,4287
08.01.2023 05:45:00,3083
08.01.2023 06:00:00,3547
08.01.2023 06:15:00,3686
08.01.2023 06:30:00,3542
08.01.2023 06:45:00,3144
08.01.2023 07:00:00,4607
08.01.2023 07:15:00,8831
08.01.2023 07:30:00,8464
08.01.2023 07:45:00,5324
08.01.2023 08:00:00,8571
08.01.2023 08:15:00,8887
08.01.2023 08:30:00,4189
08.01.2023 08:45:00,9030
08.01.2023 09:00:00,6536
08.01.2023 09:15:00,780
08.01.2023 09:30:00,6308
08.01.2023 09:45:00,4552
08.01.2023 10:00:00,4882
08.01.2023 10:15:00,1495
08.01.2023 10:30:00,7917
08.01.2023 10:45:00,6526
08.01.2023 11:00:00,4868
08.01.2023 11:15:00,5346
08.01.2023 11:30:00,4933
08.01.2023 11:45:00,1566
08.01.2023 12:00:00,915
08.01.2023 12:15:00,7790
08.01.2023 12:30:00,9801
08.01.2023 12:45:00,3215
08.01.2023 13:00:00,9536
08.01.2023 13:15:00,5248
08.01.2023 13:30:00,9634
08.01.2023 13:45:00,7188
08.01.2023 14:00:00,3352
08.01.2023 14:15:00,7393
08.01.2023 14:30:00,4930
08.01.2023 14:45:00,1900
08.01.2023 15:00:00,4526
08.01.2023 15:15:00,518
08.01.2023 15:30:00,8354
08.01.2023 15:45:00,3935
08.01.2023 16:00:00,8192
08.01.2023 16:15:00,8175
08.01.2023 16:30:00,8446
08.01.2023 16:45:00,1802
08.01.2023 17:00:00,8339
08.01.2023 17:15:00,3084
08.01.2023 17:30:00,7860
08.01.2023 17:45:00,3290
08.01.2023 18:00:00,8961
08.01.2023 18:15:00,3808
08.01.2023 18:30:00,8029
08.01.2023 18:45:00,2014
08.01.2023 19:00:00,755
08.01.2023 19:15:00,7804
08.01.2023 19:30:00,8542
08.01.2023 19:45:00,4809
08.01.2023 20:00:00,7506
08.01.2023 20:15:00,5707
08.01.2023 20:30:00,6668
08.01.2023 20:45:00,9608
08.01.2023 21:00:00,8628
08.01.2023 21:15:00,2014
08.01.2023 21:30:00,5960
08.01.2023 21:45:00,7816
08.01.2023 22:00:00,812
08.01.2023 22:15:00,7537
08.01.2023 22:30:00,1474
08.01.2023 22:45:00,7621
08.01.2023 23:00:00,7406
08.01.2023 23:15:00,9856
08.01.2023 23:30:00,3795
08.01.2023 23:45:00,986
09.01.2023 00:00:00,3586
09.01.2023 00:15:00,7535
09.01.2023 00:30:00,3170
09.01.2023 00:45:00,8999
09.01.2023 01:00:00,4536
09.01.2023 01:15:00,5071
09.01.2023 01:30:00,6611
09.01.2023 01:45:00,9726
09.01.2023 02:00:00,4894
09.01.2023 02:15:00,8324
09.01.2023 02:30:00,8883
09.01.2023 02:45:00,9930
09.01.2023 03:00:00,2462
09.01.2023 03:15:00,9819
09.01.2023 03:30:00,1389
09.01.2023 03:45:00,8883
09.01.2023 04:00:00,9687
09.01.2023 04:15:00,5625
09.01.2023 04:30:00,8536
09.01.2023 04:45:00,6338
09.01.2023 05:00:00,6505
09.01.2023 05:15:00,5482
09.01.2023 05:30:00,5541
09.01.2023 05:45:00,1869
09.01.2023 06:00:00,1623
09.01.2023 06:15:00,7389
09.01.2023 06:30:00,3799
09.01.2023 06:45:00,6998
09.01.2023 07:00:00,571
09.01.2023 07:15:00,1341
09.01.2023 07:30:00,2436
09.01.2023 07:45:00,3904
09.01.2023 08:00:00,3228
09.01.2023 08:15:00,4598
09.01.2023 08:30:00,3356
09.01.2023 08:45:00,2514
09.01.2023 09:00:00,653
09.01.2023 09:15:00,5108
09.01.2023 09:30:00,2622
09.01.2023 09:45:00,7727
09.01.2023 10:00:00,3039
09.01.2023 10:15:00,6478
09.01.2023 10:30:00,2092
09.01.2023 10:45:00,6069
09.01.2023 11:00:00,5137
09.01.2023 11:15:00,577
09.01.2023 11:30:00,3927
09.01.2023 11:45:00,532
09.01.2023 12:00:00,1736
09.01.2023 12:15:00,3930
09.01.2023 12:30:00,8796
09.01.2023 12:45:00,8755
09.01.2023 13:00:00,5548
09.01.2023 13:15:00,7036
09.01.2023 13:30:00,8422
09.01.2023 13:45:00,9085
09.01.2023 14:00:00,4575
09.01.2023 14:15:00,7993
09.01.2023 14:30:00,1262
09.01.2023 14:45:00,4210
09.01.2023 15:00:00,4997
09.01.2023 15:15:00,2921
09.01.2023 15:30:00,6161
09.01.2023 15:45:00,9904
09.01.2023 16:00:00,8345
09.01.2023 16:15:00,3170
09.01.2023 16:30:00,3419
09.01.2023 16:45:00,8591
09.01.2023 17:00:00,4547
09.01.2023 17:15:00,3393
09.01.2023 17:30:00,1809
09.01.2023 17:45:00,9945
09.01.2023 18:00:00,1615
09.01.2023 18:15:00,4024
09.01.2023 18:30:00,9402
09.01.2023 18:45:00,9674
09.01.2023 19:00:00,6068
09.01.2023 19:15:00,6371
09.01.2023 19:30:00,3917
09.01.2023 19:45:00,2481
09.01.2023 20:00:00,635
09.01.2023 20:15:00,7320
09.01.2023 20:30:00,2166
09.01.2023 20:45:00,4066
09.01.2023 21:00:00,6363
09.01.2023 21:15:00,7123
09.01.2023 21:30:00,3281
09.01.2023 21:45:00,4633
09.01.2023 22:00:00,1043
09.01.2023 22:15:00,5652
09.01.2023 22:30:00,1799
09.01.2023 22:45:00,6454
09.01.2023 23:00:00,925
09.01.2023 23:15:00,5147
09.01.2023 23:30:00,4329
09.01.2023 23:45:00,9209
10.01.2023 00:00:00,1333
10.01.2023 00:15:00,6334
10.01.2023 00:30:00,4008
10.01.2023 00:45:00,9523
10.01.2023 01:00:00,8015
10.01.2023 01:15:00,7824
10.01.2023 01:30:00,5228
10.01.2023 01:45:00,1217
10.01.2023 02:00:00,1783
10.01.2023 02:15:00,4191
10.01.2023 02:30:00,620
10.01.2023 02:45:00,7379
10.01.2023 03:00:00,5954
